libelle,longueur,position,fin,type,nom,champ,table,an,Typer,cla,z,rg,curseur
Numéro FINESS de l’entité juridique,9,1,9,c,NOFINESS,had,rapss,11,,,,,
Numéro de version du format de RAPSS,3,10,12,c,NOVRAPSS,had,rapss,11,,,,,
Numéro FINESS de l’établissement (code géographique),9,13,21,c,NOFINESS_GEO,had,rapss,11,,,,,
Numéro séquentiel de séjour d'HAD,5,22,26,c,NOSEQSEJ,had,rapss,11,,,,,
Âge en années,3,27,29,i,AGEAN,had,rapss,11,,,,,
Âge en jours,3,30,32,i,AGEJR,had,rapss,11,,,,,
Sexe du patient,1,33,33,c,SEXE,had,rapss,11,,,,,
Code géographique,5,34,38,c,CDGEO,had,rapss,11,,,,,
Type de lieu de domicile du patient,1,39,39,c,TYPDOM,had,rapss,11,,,,,
Numéro FINESS EHPA,9,40,48,c,NOFINESS_ESMS,had,rapss,11,,,,,
Nombre de journées dans le séjour,4,49,52,i,DUREESEJ,had,rapss,11,,,,,
Mode d’entrée,1,53,53,c,MODE_ENTREE,had,rapss,11,,,,,
Provenance,1,54,54,c,PROVENANCE,had,rapss,11,,,,,
Mode de sortie,1,55,55,c,MODE_SORTIE,had,rapss,11,,,,,
Destination,1,56,56,c,DESTINATION,had,rapss,11,,,,,
Mois de la date de sortie du séjour,2,57,58,c,MOISSOR_SEJ,had,rapss,11,,,,,
Année de la date de sortie du séjour,4,59,62,c,ANSOR_SEJ,had,rapss,11,,,,,
Numéro de la séquence dans le séjour,4,63,66,c,NOSEQ,had,rapss,11,,,,,
Nombre de journées entre le début de la séquence et la date d’entrée du séjour,4,67,70,i,NB_JR_DB_SEQ,had,rapss,11,,,,,
Nombre de journées dans la séquence,4,71,74,i,DUREE_SEQ,had,rapss,11,,,,,
Dernière séquence,1,75,75,c,DERNIERE_SEQ,had,rapss,11,,,,,
Mois de la date de fin de la séquence,2,76,77,c,MOIS_FIN_SEQ,had,rapss,11,,,,,
Année de la date de fin de la séquence,4,78,81,c,AN_FIN_SEQ,had,rapss,11,,,,,
Mode de prise en charge principal,2,82,83,c,MPP,had,rapss,11,,,,,
Mode de prise en charge associé,2,84,85,c,MPA,had,rapss,11,,,,,
Mode de prise en charge associé documentaire 1,2,86,87,c,MPCAD1,had,rapss,11,,,,,
Mode de prise en charge associé documentaire 2,2,88,89,c,MPCAD2,had,rapss,11,,,,,
Mode de prise en charge associé documentaire 3,2,90,91,c,MPCAD3,had,rapss,11,,,,,
Mode de prise en charge associé documentaire 4,2,92,93,c,MPCAD4,had,rapss,11,,,,,
Mode de prise en charge associé documentaire 5,2,94,95,c,MPCAD5,had,rapss,11,,,,,
Cotation dépendance selon Karnofsky,3,96,98,c,IK,had,rapss,11,,,,,
Diagnostic principal,6,99,104,c,DP,had,rapss,11,,,,,
Nombre de diagnostics associés (NbDa),2,105,106,i,NBDA,had,rapss,11,,,,,
habillage/toilette,1,107,107,c,HABILLAGE,had,rapss,11,,,,,
locomotion,1,108,108,c,LOCOMOT,had,rapss,11,,,,,
alimentation,1,109,109,c,ALIMENT,had,rapss,11,,,,,
continence,1,110,110,c,CONTINENCE,had,rapss,11,,,,,
comportement,1,111,111,c,COMPORTEMENT,had,rapss,11,,,,,
